No DE LIBRO,TITULO DEL LIBRO (MEMORIA INSTITUCIONAL. MI),AUTOR,AÑO
686,Estudio para la formulación de recomendaciones orientadas al fortalecimiento de los ingresos propios de la CVS,CVS/Universidad Pontificia Bolivariana ,"2,004"
687,Fortalecimiento de la Gestión Financiera para el manejo de los recursos propios. Informe Final.,CVS/E.I. Consultores Ltda.,"2,005"
688,Fortalecimiento de la Gestión Financiera para el manejo de los recursos propios. Anexos.,CVS/E.I. Consultores Ltda.,"2,005"
689,,CVS/FORCARIBE,"2,006"
690,"Programa de Bienestar social, estimulo e incentivos de la Corporación Autónoma de los Valles del Sinú y del San Jorge- CVS. ","CVS/G.C.P. Gestión, Consultoría y Productividad Profesional","2,006"
691,"Primera Fase. Rehabilitación de la red de drenaje de la margen izquierda del río Sinú, Sub Cuenca del Caño La Caimanera y Cuerpos de agua asociados. Informe Final. Documento XI. Vol. I. Tomo 1/10.Informe Técnico",CVS/FONADE,"2,005"
692,"Primera Fase. Rehabilitación de la red de drenaje de la margen izquierda del río Sinú, Sub Cuenca del Caño La Caimanera y Cuerpos de agua asociados. Informe Final. Documento XI. Vol. I. Tomo 2/10. Informe Técnico",CVS/FONADE,"2,005"
694,"Primera Fase. Rehabilitación de la red de drenaje de la margen izquierda del río Sinú, Sub Cuenca del Caño La Caimanera y Cuerpos de agua asociados. Informe Final. Documento XI. Vol. I. Tomo 4/10. Informe Técnico",CVS/FONADE,"2,005"
695,"Primera Fase. Rehabilitación de la red de drenaje de la margen izquierda del río Sinú, Sub Cuenca del Caño La Caimanera y Cuerpos de agua asociados. Informe Final. Documento XI. Vol. I. Tomo 5/10. Informe Técnico",CVS/FONADE,"2,005"
696,"Primera Fase. Rehabilitación de la red de drenaje de la margen izquierda del río Sinú, Sub Cuenca del Caño La Caimanera y Cuerpos de agua asociados. Informe Final. Documento XI. Vol. I. Tomo 6/10. Informe Técnico",CVS/FONADE,"2,005"
697,"Primera Fase. Rehabilitación de la red de drenaje de la margen izquierda del río Sinú, Sub Cuenca del Caño La Caimanera y Cuerpos de agua asociados. Informe Final. Documento XI. Vol. I. Tomo 7/10. Informe Técnico",CVS/FONADE,"2,005"
698,"Primera Fase. Rehabilitación de la red de drenaje de la margen izquierda del río Sinú, Sub Cuenca del Caño La Caimanera y Cuerpos de agua asociados. Informe Final. Documento XI. Vol. I. Tomo 8/10. Informe Técnico",CVS/FONADE,"2,005"
699,"Primera Fase. Rehabilitación de la red de drenaje de la margen izquierda del río Sinú, Sub Cuenca del Caño La Caimanera y Cuerpos de agua asociados. Informe Final. Documento XI. Vol. I. Tomo 9/10. Informe Técnico",CVS/FONADE,"2,005"
700,"Primera Fase. Rehabilitación de la red de drenaje de la margen izquierda del río Sinú, Sub Cuenca del Caño La Caimanera y Cuerpos de agua asociados. Informe Final. Documento XI. Vol. I. Tomo 10/10. Informe Técnico",CVS/FONADE,"2,006"
701,"Primera Fase. Rehabilitación de la red de drenaje de la margen izquierda del río Sinú, Sub Cuenca del Caño La Caimanera y Cuerpos de agua asociados. Informe Final. Documento XI. Vol. II. Tomo 1/1. Informe Técnico",CVS/FONADE,"2,006"
702,"Primera Fase. Rehabilitación de la red de drenaje de la margen izquierda del río Sinú, Sub Cuenca del Caño La Caimanera y Cuerpos de agua asociados. Informe Final. Documento I. Vol. I. Tomo 1/1. Resumen General",CVS/FONADE,"2,006"
703,"Primera Fase. Rehabilitación de la red de drenaje de la margen izquierda del río Sinú, Sub Cuenca del Caño La Caimanera y Cuerpos de agua asociados. Informe Final. Documento II. Vol. I. Tomo 1/3. Gestión Social",CVS/FONADE,"2,006"
704,"Primera Fase. Rehabilitación de la red de drenaje de la margen izquierda del río Sinú, Sub Cuenca del Caño La Caimanera y Cuerpos de agua asociados. Informe Final. Documento II. Vol. I. Tomo 2/3. Gestión Social. ( Anexos)",CVS/FONADE,"2,006"
705,"Primera Fase. Rehabilitación de la red de drenaje de la margen izquierda del río Sinú, Sub Cuenca del Caño La Caimanera y Cuerpos de agua asociados. Informe Final. Documento II. Vol. I. Tomo 3/3. Gestión Social, Continuación.",CVS/FONADE,"2,006"
706,"Primera Fase. Rehabilitación de la red de drenaje de la margen izquierda del río Sinú, Sub Cuenca del Caño La Caimanera y Cuerpos de agua asociados. Informe Final. Documento II. Vol. I. Tomo3 /3.Gestión Social.( Anexos- Continuación)",CVS/FONADE,"2,006"
707,"Primera Fase. Rehabilitación de la red de drenaje de la margen izquierda del río Sinú, Sub Cuenca del Caño La Caimanera y Cuerpos de agua asociados. Informe Final. Documento III. Vol. I. Tomo 1/1. Estudio Hidrológico e Hidráulico.",CVS/FONADE,"2,006"
708,"Primera Fase. Rehabilitación de la red de drenaje de la margen izquierda del río Sinú, Sub Cuenca del Caño La Caimanera y Cuerpos de agua asociados. Informe Final. Documento V. Vol. I. Tomo 1/1. Seguimiento de Obras de Rehabilitación.",CVS/FONADE,"2,006"
709,"Primera Fase. Rehabilitación de la red de drenaje de la margen izquierda del río Sinú, Sub Cuenca del Caño La Caimanera y Cuerpos de agua asociados. Informe Final. Documento VI. Vol. I. Tomo 1/1.Plan de Reforestación y Educación Ambiental",CVS/FONADE,"2,006"
710,"Primera Fase. Rehabilitación de la red de drenaje de la margen izquierda del río Sinú, Sub Cuenca del Caño La Caimanera y Cuerpos de agua asociados. Informe Final. Documento VIII. Vol. I. Tomo 1/5. Levantamientos Topográficos",CVS/FONADE,"2,005"
711,"Primera Fase. Rehabilitación de la red de drenaje de la margen izquierda del río Sinú, Sub Cuenca del Caño La Caimanera y Cuerpos de agua asociados. Informe Final. Documento VIII. Vol. I. Tomo 2/5. Levantamiento Topográficos- Anexo 8 ( Continuación)",CVS/FONADE,"2,005"
712,"Primera Fase. Rehabilitación de la red de drenaje de la margen izquierda del río Sinú, Sub Cuenca del Caño La Caimanera y Cuerpos de agua asociados. Informe Final. Documento VIII. Vol. I. Tomo 3/5. Levantamiento Topográfico-Anexo 8 ( continuación 2)",CVS/FONADE,"2,005"
713,"Primera Fase. Rehabilitación de la red de drenaje de la margen izquierda del río Sinú, Sub Cuenca del Caño La Caimanera y Cuerpos de agua asociados. Informe Final. Documento VII. Vol. I. Tomo 4/5. Levantamientos Topográficos - Anexo 9",CVS/FONADE,"2,005"
714,"Primera Fase. Rehabilitación de la red de drenaje de la margen izquierda del río Sinú, Sub Cuenca del Caño La Caimanera y Cuerpos de agua asociados. Informe Final. Documento VIII. Vol. I. Tomo 5/5. Levantamientos Topográficos - Anexo 9. (continuación)",CVS/FONADE,"2,005"
715,"Primera Fase. Rehabilitación de la red de drenaje de la margen izquierda del río Sinú, Sub Cuenca del Caño La Caimanera y Cuerpos de agua asociados. Informe Final. Documento VIII. Vol. II. Tomo 1/1. Adición No 1. Levantamientos Topográficos del Caño El Tigre sector la majagua La Balsa.",CVS/FONADE,"2,006"
716,"Primera Fase. Rehabilitación de la red de drenaje de la margen izquierda del río Sinú, Sub Cuenca del Caño La Caimanera y Cuerpos de agua asociados. Informe Final. Documento IX. Vol. I. Tomo 1/1. Ortofotos y Aerofotografía del Caño La Cimanera",CVS/FONADE,"2,006"
717,"Primera Fase. Rehabilitación de la red de drenaje de la margen izquierda del río Sinú, Sub Cuenca del Caño La Caimanera y Cuerpos de agua asociados. Informe Final. Documento IX. Vol. I. Tomo 1/1. Adición No 1. Ortofotos y Aerofotografía sector margen izquierda del Río Sinú- Bajo Sinú.",CVS/FONADE,"2,006"
718,"Primera Fase. Rehabilitación de la red de drenaje de la margen izquierda del río Sinú, Sub Cuenca del Caño La Caimanera y Cuerpos de agua asociados. Informe Final. Documento X. Vol. I. Tomo 1/1 Seguimiento a Plan  de Manejo Ambiental de obras.",CVS/FONADE,"2,006"
719,"Primera Fase. Rehabilitación de la red de drenaje de la margen izquierda del río Sinú, Sub Cuenca del Caño La Caimanera y Cuerpos de agua asociados. Informe Final. Documento X. Vol. II. Tomo 1/2. Plan de Manejo Ambiental sector Bocas de Carrillo-Severá",CVS/FONADE,"2,006"
720,"Primera Fase. Rehabilitación de la red de drenaje de la margen izquierda del río Sinú, Sub Cuenca del Caño La Caimanera y Cuerpos de agua asociados. Informe Final. Documento X. Vol. II. Tomo 2/2. Plan de Manejo Ambiental Sector Severá- Caño Viejo Palotal vía Montería Arboletes- Las Moras.",CVS/FONADE,"2,006"
721,Diagnóstico Preliminar del Sistema de Caños y Ciénagas Asociadas al Caño La Caimanera. Informe Final,CVS/ Jairo Herrera Arango,"2,004"
722,"Actualización Catastral, municipio Cienaga de Oro, zona rural",CVS/Instituto Geográfico Agustín Codazzi,"2,006"
723,"Actualización Catastral, municipio Pueblo Nuevo, zona urbana",CVS/Instituto Geográfico Agustín Codazzi,"2,006"
724,"Elaboración de estudios y diseños definitivos del sistema de tratamiento de aguas residuales y tratamientos de lodos de la planta de beneficio de ganado del municipio de Cereté.  Diagnóstico, estudio de alternativas y diseños.  Tomo I.",CVS/ Unión Temporal J & W,"2,007"
725,Elaboración de estudios y diseños definitivos del sistema de tratamiento de aguas residuales y tratamientos de lodos de la planta de beneficio de ganado del municipio de Cereté.  Reglas de participación.  Tomo II.,CVS/Unión Temporal J & W,"2,007"
726,"Elaboración de estudios y diseños definitivos del sistema de tratamiento de aguas residuales y tratamientos de lodos de la planta de beneficio de ganado del municipio de Cereté.  Presupuesto, análisis de precios unitarios y especificaciones técnicas.  Tomo III.",CVS/Unión Temporal J & W,"2,007"
727,"Elaboración de estudios y diseños definitivos del sistema de tratamiento de aguas residuales y tratamientos de lodos de la planta de beneficio de ganado del municipio de Cereté.  Diagnóstico, estudio de alternativas y diseños. Anexo 5. Planos constructivos. Tomo I.",CVS/Unión Temporal J & W,"2,007"
728,"Diagnóstico sobre la utilización y disposición final de los envases de agroquímicos utilizados en la agricultura en la ecorregión del San Jorge (Planeta Rica, Buenavista, La Apartada, Ayapel, Montelíbano, Puerto Libertador) y Bajo Sinú (Purísima y Momil) en el departamento de Córdoba",CVS/Universidad de Córdoba,"2,006"
729,Restablecimiento del Bosque de Galería del Río Sinú. Informe Consolidado,CVS/FONADE,"2,006"
730,Taller de Socialización de los Resultados del Estudio del Uso de Tecnologías en arrecifes artificiales  en el caribe colombiano. Informe Final.,CVS/ Fundación Biozoo,"2,003"
731,Fase de Prospección y Formulación del Plan de Ordenamiento y Manejo Integral de la Cuenca Hidrográfica del Río Sinú. POMCA-RS.( 2 Copias).,CVS/ FONADE- Universidad de Córdoba,"2,006"
732,Caracterización y Calibración de tres Rutas de Recolección de Material Recuperable en la Zona Centro del Municipio de Montería- Córdoba. Información Final.                   ( 2 EJEMPLARES),CVS/ Juan Bautista Parra de Hoyos,"2,007"
733,"Diseño de espolones mediante el sistema de bolsacretos en concreto en el río Sinú, margen izquierda; en los sectores  de Jaraquiel y sitio próximo al distrito de riego de las Palomas en el municipio de Montería. Contrato 051/2006",Juan Bautista Parra De Hoyos,"2,007"
734,"Conservación y Enriquecimiento de Rastrojeras en el Cerro Murrucucú (Tierralta, Córdoba) 2 EJEMPLARES","CVS y la Universidad Nacional de Colombia,","2,006"
735,Tradiciones Etnoveterinarias de las Comunidades Productores del Valle del Sinú Identificación de Especies Vegetales para Control de Parasito en Ganado Bovino,"CVS, CORPOICA,GANACOR","2,006"
736,"Proyecto Experimental Piloto para la Conservación del Crocodylus acutus por comunidades Locales en los Manglares de la Bahía de Cispatá, Departamento de Córdoba, Colombia. Informe Final","CVS/Ministerio de Ambiente, Vivienda y Desarrollo Territorial/ Giovanni Ulloa","2,005"
737,Caracterización y Diagnóstico de las poblaciones de Caimán crocodylus fuscus y su hábitat natural. Bahía de Cispatá,"CVS/Ministerio de Ambiente, Vivienda y Desarrollo Territorial/ Giovanni Ulloa, Denis Cavanzo ","2,004"
738,Informe de Gestión 1994,CVS,"1,994"
739,Informe de Gestión 1995,CVS,"1,995"
740,Informe de Gestión 1996,CVS,"1,996"
741,Informe de Gestión 1997,CVS,"1,997"
742,Informe de Gestión 1998,CVS,"1,998"
743,Informe de Gestión 1999,CVS,"1,999"
744,Informe de Gestión 2000,CVS,"2,000"
745,Informe de Gestión 2001,CVS,"2,001"
746,Informe de Gestión 2002,CVS,"2,002"
747,Informe de Gestión 2003,CVS,"2,003"
748,Informe de Gestión 2004,CVS,"2,003"
749,Informe de Gestión 2005,CVS,"2,004"
756,"Ordenamiento Ambiental territorial de la zona amortiguadora del Parque nacional natural Paramillo en jurisdicción de los municipios de Tierralta, Montelíbano y Puerto Libertador, departamento de Córdoba. Informe Final",CVS/ UASPNN,"2,006"
757,Proyecto Experimental Productivo Piloto para el Desarrollo de la Apicultura con comunidades en áreas de manglar. Informe Final,CVS/FONADE,"2,005"
758,Especies focales para la conservación en el departamento de Córdoba,CVS/  HUMBOLDT,"2,006"
759,Informe final de actividades Arboreto - Herboreto.  Centro de conservación y biodiversidad del Alto Sinú,CVS/ Fundación Biozoo,"2,006"
760,"Diseños  y construcción de espolones mediante el sistema de bolsacreto en concreto en el río Sinú en los sectores de: caserío Los Caños, margen izquierda; caserío Retiro de Los Páez No 2 Margen Derecha en el municipio de Cereté;  y el corregimiento de Nariño, margen derecha en el municipio de Lorica. Contrato 053/2006",Unión Temporal Espocórdoba,"2,006"
761,Caracterización y Calibración de tres Rutas de Recolección de Material Recuperable en la Zona Centro del Municipio de Montería- Córdoba.ANEXOS,Unión Temporal Espocórdoba,"2,006"
762,Contribución a la recuperación y conservación del hábitat del titi cabeciblanco (Sanguinus oedipus) en el área de influencia del embalse con participación comunitaria. Informe Final.,CVS/ PNN y Conservación Internacional,"2,006"
763,Implementación de un programa de capacitación y fomento de la apicultura como un proceso alternativo limpio de producción en las comunidades rurales vulnerables del departamento de Córdoba,CVS / Universidad de Córdoba.  ,"2,005"
764,"Diagnóstico de la utilización, disposición final y embalaje de los envases de agroquímicos utilizados en la agricultura en las ecorregiones del Alto Sinú, sabanas y costanera del  departamento de Córdoba",CVS / Universidad de Córdoba,"2,005"
765,"Realización de un diagnóstico de los apiarios y capacitar a los beneficiarios haciendo un seguimiento de las diferentes comunidades involucradas en el proyecto apícola afianzando los conocimientos del curso de apicultura básica, en el proyecto, ya ejecutado",CVS / Universidad de Córdoba,"2,006"
766,Centro de Atención y Valoración de Fauna Silvestre -CAV- convenio Nº. 104-2006 Informe Técnico Final del 19 de Agosto de 2006 -20 de Abril de 2007.,"CONVENIO 104/2006
CVS/UniCórdoba
","2,007"
767,Implementación y Establecimiento de dos (2) Centros Apicolas en los Municipios de Momil y San Andrés de Sotavento (Córdoba) Anexa Un (1) CD.,CVS/Luis Eugenio Echeverri Duque,"2,007"
768,Validación de modelos de producción de bajo impacto ambiental para el cultivo de algodón en el departamento de Córdoba, CVS/ Corpoica,"2,007"
769,"Implementación de la rizipiscicultura como proceso alternativo limpio de producción en las comunidades productoras de arroz en la doctrina, municipio de Santa Cruz de Lorica",CVS/ Universidad de Córdoba. ,"2,007"
770,Plan de Ordenamiento Minero Ambiental de los materiales de construcción en el departamento de Córdoba.,CVS/ UPME/ Universidad EAFIT,"2,007"
771,Plan de Acción para la conservación de la babilla (Caimán Crocodylus fuscus) en jurisdicción de la CVS.  Estandarización metodológica para la caracterización y diagnóstico de las poblaciones de Caimán Crocodylus fuscus de las ciénagas del bajo Sinú.,CVS/ Giovanni Andrés Ulloa Delgado,"2,007"
772,"Elaboración del inventario, diagnóstico y estudio de ingeniería para la formulación de los planes de restauración, recuperación, compensación y abandono de los sitios de disposición final inadecuados o botaderos a cielo abierto para los municipios de Córdoba.  Municipio de La Apartada",CVS/ Unión Temporal Ambiental Consultores,"2,007"
773,"Elaboración del inventario, diagnóstico y estudio de ingeniería para la formulación de los planes de restauración, recuperación, compensación y abandono de los sitios de disposición final inadecuados o botaderos a cielo abierto para los municipios de Córdoba.  Municipio de San Pelayo",CVS/ Unión Temporal Ambiental Consultores,"2,007"
774,"Elaboración del inventario, diagnóstico y estudio de ingeniería para la formulación de los planes de restauración, recuperación, compensación y abandono de los sitios de disposición final inadecuados o botaderos a cielo abierto para los municipios de Córdoba.  Municipio de Ayapel",CVS/ Unión Temporal Ambiental Consultores,"2,007"
775,"Elaboración del inventario, diagnóstico y estudio de ingeniería para la formulación de los planes de restauración, recuperación, compensación y abandono de los sitios de disposición final inadecuados o botaderos a cielo abierto para los municipios de Córdoba.  Municipio de San Carlos",CVS/ Unión Temporal Ambiental Consultores,"2,007"
776,"Elaboración del inventario, diagnóstico y estudio de ingeniería para la formulación de los planes de restauración, recuperación, compensación y abandono de los sitios de disposición final inadecuados o botaderos a cielo abierto para los municipios de Córdoba.  Municipio de Momil",CVS/ Unión Temporal Ambiental Consultores,"2,007"
777,"Elaboración del inventario, diagnóstico y estudio de ingeniería para la formulación de los planes de restauración, recuperación, compensación y abandono de los sitios de disposición final inadecuados o botaderos a cielo abierto para los municipios de Córdoba.  Municipio de Santa Cruz de Lorica",CVS/ Unión Temporal Ambiental Consultores,"2,007"
778,"Elaboración del inventario, diagnóstico y estudio de ingeniería para la formulación de los planes de restauración, recuperación, compensación y abandono de los sitios de disposición final inadecuados o botaderos a cielo abierto para los municipios de Córdoba.  Municipio de Los Córdobas",CVS/ Unión Temporal Ambiental Consultores,"2,007"
779,"Elaboración del inventario, diagnóstico y estudio de ingeniería para la formulación de los planes de restauración, recuperación, compensación y abandono de los sitios de disposición final inadecuados o botaderos a cielo abierto para los municipios de Córdoba.  Municipio de Puerto Escondido",CVS/ Unión Temporal Ambiental Consultores,"2,007"
780,"Elaboración del inventario, diagnóstico y estudio de ingeniería para la formulación de los planes de restauración, recuperación, compensación y abandono de los sitios de disposición final inadecuados o botaderos a cielo abierto para los municipios de Córdoba.  Municipio de Cereté",CVS/ Unión Temporal Ambiental Consultores,"2,007"
781,"Elaboración del inventario, diagnóstico y estudio de ingeniería para la formulación de los planes de restauración, recuperación, compensación y abandono de los sitios de disposición final inadecuados o botaderos a cielo abierto para los municipios de Córdoba.  Municipio de Cotorra",CVS/ Unión Temporal Ambiental Consultores,"2,007"
782,"Elaboración del inventario, diagnóstico y estudio de ingeniería para la formulación de los planes de restauración, recuperación, compensación y abandono de los sitios de disposición final inadecuados o botaderos a cielo abierto para los municipios de Córdoba.  Municipio de Buenavista",CVS/ Unión Temporal Ambiental Consultores,"2,007"
783,"Elaboración del inventario, diagnóstico y estudio de ingeniería para la formulación de los planes de restauración, recuperación, compensación y abandono de los sitios de disposición final inadecuados o botaderos a cielo abierto para los municipios de Córdoba.  Municipio de Pueblo Nuevo",CVS/ Unión Temporal Ambiental Consultores,"2,007"
784,"Elaboración del inventario, diagnóstico y estudio de ingeniería para la formulación de los planes de restauración, recuperación, compensación y abandono de los sitios de disposición final inadecuados o botaderos a cielo abierto para los municipios de Córdoba.  Municipio de Purísima",CVS/ Unión Temporal Ambiental Consultores,"2,007"
785,"Elaboración del inventario, diagnóstico y estudio de ingeniería para la formulación de los planes de restauración, recuperación, compensación y abandono de los sitios de disposición final inadecuados o botaderos a cielo abierto para los municipios de Córdoba.  Municipio de Chimá",CVS/ Unión Temporal Ambiental Consultores,"2,007"
786,"Elaboración del inventario, diagnóstico y estudio de ingeniería para la formulación de los planes de restauración, recuperación, compensación y abandono de los sitios de disposición final inadecuados o botaderos a cielo abierto para los municipios de Córdoba.  Municipio de San Bernardo del Viento",CVS/ Unión Temporal Ambiental Consultores,"2,007"
787,"Elaboración del inventario, diagnóstico y estudio de ingeniería para la formulación de los planes de restauración, recuperación, compensación y abandono de los sitios de disposición final inadecuados o botaderos a cielo abierto para los municipios de Córdoba -Municipio de Ciénaga de Oro",CVS/Unión Temporal Ambiental Consultores,"2,007"
788,"Elaboración del inventario, diagnóstico y estudio de ingeniería para la formulación de los planes de restauración, recuperación, compensación y abandono de los sitios de disposición final inadecuados o botaderos a cielo abierto para los municipios de Córdoba -Municipio de Sahagún",CVS/Unión Temporal Ambiental Consultores,"2,007"
789,"Elaboración del inventario, diagnóstico y estudio de ingeniería para la formulación de los planes de restauración, recuperación, compensación y abandono de los sitios de disposición final inadecuados o botaderos a cielo abierto para los municipios de Córdoba -Municipio de San Antero",CVS/Unión Temporal Ambiental Consultores,"2,007"
790,"Elaboración del inventario, diagnóstico y estudio de ingeniería para la formulación de los planes de restauración, recuperación, compensación y abandono de los sitios de disposición final inadecuados o botaderos a cielo abierto para los municipios de Córdoba -Municipio de Puerto Libertador",CVS/Unión Temporal Ambiental Consultores,"2,007"
791,"Elaboración del inventario, diagnóstico y estudio de ingeniería para la formulación de los planes de restauración, recuperación, compensación y abandono de los sitios de disposición final inadecuados o botaderos a cielo abierto para los municipios de Córdoba -Municipio de Montelíbano",CVS/Unión Temporal Ambiental Consultores,"2,007"
792,"Elaboración del inventario, diagnóstico y estudio de ingeniería para la formulación de los planes de restauración, recuperación, compensación y abandono de los sitios de disposición final inadecuados o botaderos a cielo abierto para los municipios de Córdoba -Municipio de San Andrés de Sotavento",CVS/Unión Temporal Ambiental Consultores,"2,007"
793,"Elaboración del inventario, diagnóstico y estudio de ingeniería para la formulación de los planes de restauración, recuperación, compensación y abandono de los sitios de disposición final inadecuados o botaderos a cielo abierto para los municipios de Córdoba -Municipio de Canalete",CVS/Unión Temporal Ambiental Consultores,"2,007"
794,"Elaboración del inventario, diagnóstico y estudio de ingeniería para la formulación de los planes de restauración, recuperación, compensación y abandono de los sitios de disposición final inadecuados o botaderos a cielo abierto para los municipios de Córdoba -Municipio de Tierralta",CVS/Unión Temporal Ambiental Consultores,"2,007"
795,"Elaboración del inventario, diagnóstico y estudio de ingeniería para la formulación de los planes de restauración, recuperación, compensación y abandono de los sitios de disposición final inadecuados o botaderos a cielo abierto para los municipios de Córdoba -Municipio de Moñitos",CVS/Unión Temporal Ambiental Consultores,"2,007"
796,"Elaboración del inventario, diagnóstico y estudio de ingeniería para la formulación de los planes de restauración, recuperación, compensación y abandono de los sitios de disposición final inadecuados o botaderos a cielo abierto para los municipios de Córdoba -Municipio de Chinú",CVS/Unión Temporal Ambiental Consultores,"2,007"
797,"Elaboración del inventario, diagnóstico y estudio de ingeniería para la formulación de los planes de restauración, recuperación, compensación y abandono de los sitios de disposición final inadecuados o botaderos a cielo abierto para los municipios de Córdoba -Municipio de Planeta Rica",CVS/Unión Temporal Ambiental Consultores,"2,007"
798,"Elaboración del inventario, diagnóstico y estudio de ingeniería para la formulación de los planes de restauración, recuperación, compensación y abandono de los sitios de disposición final inadecuados o botaderos a cielo abierto para los municipios de Córdoba -Municipio de Valencia",CVS/Unión Temporal Ambiental Consultores,"2,007"
799,"Informe final de acompañamiento a la CVS en la Elaboración de su Plan de acción trienal 2007 -2009, brindando una asesoría de alto nivel en los aspectos técnicos - ambientales, administrativos y financieros -PAT",CVS/Centro Mundial de Investigación y Capacitación para la Solución de Conflictos,"2,007"
800,"Propuesta metodológica para la elaboración y puesta en marcha de los planes prevención y atención de desastres municipales. (emergencia) Municipios de La Apartada, Pueblo Nuevo, Cereté, San Pelayo, Los Córdobas y Puerto Escondido",CVS/ Universidad EAFIT,"2,007"
801,Producción Más Limpia Aplicada en la industria del Departamento de Córdoba. Informe Final,CVS/Centro Nacional de Producción Mas Limpia y Tecnologías Ambientales.,"2,007"
802,Producción Más Limpia Aplicada en la industria del Departamento de Córdoba. Anexos,CVS/Centro Nacional de Producción Mas Limpia y Tecnologías Ambientales.,"2,007"
803,Tratamiento de residuos orgánicos animales producidos durante la 47 Feria Ganadera de Montería,CVS/GANACOR,"2,007"
804,Plan de Manejo y Ordenamiento Ambiental del Complejo Cenagoso del Bajo Sinú (Tomo 1) Consideraciones Preliminares,CVS/Universidad Nacional,"2,007"
805,Plan de Manejo y Ordenamiento Ambiental del Complejo Cenagoso del Bajo Sinú (Tomo 2) Descripción,CVS/Universidad Nacional,"2,007"
806,Plan de Manejo y Ordenamiento Ambiental del Complejo Cenagoso del Bajo Sinú (Tomo 3) Evaluación y Formulación,CVS/Universidad Nacional,"2,007"
807,Plan de Manejo y Ordenamiento Ambiental del Complejo Cenagoso del Bajo Sinú (Tomo 4) Distrito de Manejo Integrado,CVS/Universidad Nacional,"2,007"
808,Plan de Manejo y Ordenamiento Ambiental del Complejo Cenagoso del Bajo Sinú (Tomo 5) ,CVS/Universidad Nacional,"2,007"
809,"Diagnóstico de la dinámica hídrica, tenencia y ocupación del complejo lagunar del bajo Sinú.  Informe de avance.",CVS/Universidad Nacional,"2,005"
810,Plan de Manejo Ambiental del complejo de humedales de Ayapel       ( Anexan Copia),CVS/Universidad de Antioquia,"2,007"
811,Simulación de la calidad del agua del río Sinú,CVS/Universidad Nacional,"2,007"
812,Reglamentación del aprovechamiento de las aguas del río Sinú,CVS/Universidad Nacional,"2,007"
813,Plan Maestro de Acueducto y Alcantarillado de la cabecera municipal de Los Córdobas y sus estudios y diseños detallados y diseños de acueductos veredales que se asocian al acueducto municipal.  Tomo I.  Informe de  Diagnóstico,CVS/ Consorcio G&G,"2,007"
814,Plan Maestro de Acueducto y Alcantarillado de la cabecera municipal de Los Córdobas y sus estudios y diseños detallados y diseños de acueductos veredales que se asocian al acueducto municipal.  Tomo II.  Informe de  Alternativas,CVS/ Consorcio G&G,"2,007"
815,Plan Maestro de Acueducto y Alcantarillado de la cabecera municipal de Los Córdobas y sus estudios y diseños detallados y diseños de acueductos veredales que se asocian al acueducto municipal.  Tomo III.  Informe de  Diseño,CVS/ Consorcio G&G,"2,007"
816,Plan Maestro de Acueducto y Alcantarillado de la cabecera municipal de Los Córdobas y sus estudios y diseños detallados y diseños de acueductos veredales que se asocian al acueducto municipal.  Tomo IV.  Informe de Topografía,CVS/ Consorcio G&G,"2,007"
817,Plan Maestro de Acueducto y Alcantarillado de la cabecera municipal de Los Córdobas y sus estudios y diseños detallados y diseños de acueductos veredales que se asocian al acueducto municipal.  Tomo V.  Presupuestos de Obras y análisis de precios unitarios,CVS/ Consorcio G&G,"2,007"
818,Plan Maestro de Acueducto y Alcantarillado de la cabecera municipal de Los Córdobas y sus estudios y diseños detallados y diseños de acueductos veredales que se asocian al acueducto municipal.  Tomo VI.  Informe de  Geotecnia,CVS/ Consorcio G&G,"2,007"
819,Plan Maestro de Acueducto y Alcantarillado de la cabecera municipal de Los Córdobas y sus estudios y diseños detallados y diseños de acueductos veredales que se asocian al acueducto municipal.  Tomo VII.  Informe eléctrico,CVS/ Consorcio G&G,"2,007"
820,Plan Maestro de Acueducto y Alcantarillado de la cabecera municipal de Los Córdobas y sus estudios y diseños detallados y diseños de acueductos veredales que se asocian al acueducto municipal.  Tomo VIII.  Informe estructural,CVS/ Consorcio G&G,"2,007"
821,Plan Maestro de Acueducto y Alcantarillado de la cabecera municipal de Los Córdobas y sus estudios y diseños detallados y diseños de acueductos veredales que se asocian al acueducto municipal.  Tomo X. Manuales de Operación y mantenimiento. Sistemas de acueducto y alcantarillado ,CVS/ Consorcio G&G,"2,007"
822,Plan Maestro de Acueducto y Alcantarillado de la cabecera municipal de Los Córdobas y sus estudios y diseños detallados y diseños de acueductos veredales que se asocian al acueducto municipal.  Tomo XI.  Pliego de condiciones,CVS/ Consorcio G&G,"2,007"
823,Plan Maestro de Acueducto y Alcantarillado de la cabecera municipal de Los Córdobas y sus estudios y diseños detallados y diseños de acueductos veredales que se asocian al acueducto municipal.  Tomo XI. Especificaciones Técnicas,CVS/ Consorcio G&G,"2,007"
824,Plan Maestro de Acueducto y Alcantarillado de la cabecera municipal de Los Córdobas y sus estudios y diseños detallados y diseños de acueductos veredales que se asocian al acueducto municipal.  Tomo XII.  Plan de Manejo Ambiental,CVS/ Consorcio G&G,"2,007"
825,Plan Maestro de Acueducto y Alcantarillado de la cabecera municipal de Los Córdobas y sus estudios y diseños detallados y diseños de acueductos veredales que se asocian al acueducto municipal.  Tomo XIII.  Informe Ejecutivo ,CVS/ Consorcio G&G,"2,007"
