No DE LIBRO,TITULO DEL LIBRO (MEMORIA INSTITUCIONAL. MI),AUTOR,AÑO
81,"Proyecto Construcción de Cultura Ambiental desde las Escuelas y Comunidades Cordobesas-CAEC, Planes de Estudio con dimensión Ambiental"," CVS, Fundación Universitaria Luis Amigó","2,004"
82,"Proyecto Construcción de Cultura Ambiental desde las Escuelas y Comunidades Cordobesas-CAEC, Planes de Asignaturas","CVS, Fundación Universitaria Luis Amigó","2,004"
83,"Proyecto Construcción de Cultura Ambiental desde las Escuelas y Comunidades Cordobesas-CAEC, Informe de Gestión. Diagnósticos Ambientales Escolares. Planes de Ordenamiento del Territorio Escolar.",CVS/Fundación Universitaria Luis Amigó,"2,004"
84,Proyecto Construcción de Cultura Ambiental desde las Escuelas y Comunidades Cordobesas-CAEC.  Escuela Jesús María Lugo,"CVS, Luis Miguel Pico Román","2,002"
85,"Proyecto Construcción de Cultura Ambiental desde las Escuelas y Comunidades Cordobesas-CAEC,  Centro Educativo El Planchón", CVS/Mary Luz Doris Rojas,"2,002"
86,"Proyecto Construcción de Cultura Ambiental desde las Escuelas y Comunidades Cordobesas-CAEC, Institución Educativa Pijiguayal", CVS/ Morinson Arrieta Suárez,"2,002"
87,Plan Maestro de Desarrollo Integral de la Cuenca Hidrográfica del río Sinú. Plan Vial. Equipamientos Urbanos,CVS/ BID,"1,980"
88,"Proyecto Construcción de Cultura Ambiental desde las Escuelas y Comunidades Cordobesas-CAEC, Informe Final",CVS.- Ever Osorio Alarcón,"2,002"
89,"Proyecto Construcción de Cultura Ambiental desde las Escuelas y Comunidades Cordobesas-CAEC, Informe Final de las prácticas productivas sostenibles.",CVS.- Omar Sánchez Miranda,"2,002"
90,"Proyecto Construcción de Cultura Ambiental desde las Escuelas y Comunidades Cordobesas-CAEC, Centro Docente Las Llanadas",CVS- Raúl Rojas Guevara,"2,002"
91,Inventario y diagnóstico minero ambiental del departamento de Córdoba. Ciénaga de Oro.," CVS, INGEOMINAS","2,005"
92,Inventario y diagnóstico minero ambiental del departamento de Córdoba. San Andrés de Sotavento," CVS, INGEOMINAS","2,005"
93,Inventario y diagnóstico minero ambiental del departamento de Córdoba. Anexo 1 y 3.  Caracterización socioeconómica de la actividad minera en el departamento de Córdoba," CVS, INGEOMINAS","2,005"
94,Inventario y diagnóstico minero ambiental del departamento de Córdoba. Lineamientos para el ordenamiento minero-ambiental (2 Tomos),"CVS, INGEOMINAS","2,005"
